AGE GROUP (YEARS),Period,NUM_WOMEN,STATE
55–59,2016-2017,2658,NT
55–59,2016-2017,83581,QLD
55–59,2016-2017,33689,SA
55–59,2016-2017,11002,TAS
55–59,2016-2017,97572,VIC
55–59,2016-2017,42103,WA
60–64,2008–2009,5288,ACT
60–64,2008–2009,109303,NSW
60–64,2008–2009,1729,NT
60–64,2008–2009,70535,QLD
60–64,2008–2009,29705,SA
60–64,2008–2009,9712,TAS
60–64,2008–2009,82321,VIC
60–64,2008–2009,32901,WA
60–64,2009–2010,5433,ACT
60–64,2009–2010,112211,NSW
60–64,2009–2010,1848,NT
60–64,2009–2010,73295,QLD
60–64,2009–2010,29564,SA
60–64,2009–2010,10265,TAS
60–64,2009–2010,87153,VIC
60–64,2009–2010,35694,WA
60–64,2010–2011,5655,ACT
60–64,2010–2011,112454,NSW
60–64,2010–2011,2010,NT
60–64,2010–2011,74772,QLD
60–64,2010–2011,31218,SA
60–64,2010–2011,10482,TAS
60–64,2010–2011,89629,VIC
60–64,2010–2011,37551,WA
60–64,2011–2012,5988,ACT
60–64,2011–2012,114329,NSW
60–64,2011–2012,2059,NT
60–64,2011–2012,75582,QLD
60–64,2011–2012,31548,SA
60–64,2011–2012,10547,TAS
60–64,2011–2012,89786,VIC
60–64,2011–2012,38529,WA
60–64,2012–2013,6109,ACT
60–64,2012–2013,115875,NSW
60–64,2012–2013,2056,NT
60–64,2012–2013,77060,QLD
60–64,2012–2013,28665,SA
60–64,2012–2013,10599,TAS
60–64,2012–2013,90447,VIC
60–64,2012–2013,38707,WA
60–64,2013–2014,6019,ACT
60–64,2013–2014,116120,NSW
60–64,2013–2014,2001,NT
60–64,2013–2014,77698,QLD
60–64,2013–2014,30930,SA
60–64,2013–2014,10437,TAS
60–64,2013–2014,91189,VIC
60–64,2013–2014,37744,WA
60–64,2014–2015,5976,ACT
60–64,2014–2015,119307,NSW
60–64,2014–2015,2014,NT
60–64,2014–2015,77902,QLD
60–64,2014–2015,32600,SA
60–64,2014–2015,10622,TAS
60–64,2014–2015,91425,VIC
60–64,2014–2015,39079,WA
60–64,2015–2016,6102,ACT
60–64,2015–2016,123853,NSW
60–64,2015–2016,2052,NT
60–64,2015–2016,78542,QLD
60–64,2015–2016,32923,SA
60–64,2015–2016,10746,TAS
60–64,2015–2016,94085,VIC
60–64,2015–2016,40412,WA
60–64,2016-2017,6097,ACT
60–64,2016-2017,126777,NSW
60–64,2016-2017,2170,NT
60–64,2016-2017,78497,QLD
60–64,2016-2017,33381,SA
60–64,2016-2017,11029,TAS
60–64,2016-2017,96320,VIC
60–64,2016-2017,40749,WA
65–69,2008–2009,3438,ACT
65–69,2008–2009,81045,NSW
65–69,2008–2009,974,NT
65–69,2008–2009,50750,QLD
65–69,2008–2009,21562,SA
65–69,2008–2009,7157,TAS
65–69,2008–2009,60217,VIC
65–69,2008–2009,24089,WA
65–69,2009–2010,3620,ACT
65–69,2009–2010,84401,NSW
65–69,2009–2010,1075,NT
65–69,2009–2010,53163,QLD
65–69,2009–2010,21849,SA
65–69,2009–2010,7497,TAS
65–69,2009–2010,63109,VIC
65–69,2009–2010,25742,WA
65–69,2010–2011,3803,ACT
65–69,2010–2011,86938,NSW
65–69,2010–2011,1106,NT
65–69,2010–2011,55655,QLD
65–69,2010–2011,23741,SA
65–69,2010–2011,7670,TAS
65–69,2010–2011,67050,VIC
65–69,2010–2011,27178,WA
65–69,2011–2012,4114,ACT
65–69,2011–2012,93058,NSW
65–69,2011–2012,1236,NT
65–69,2011–2012,59385,QLD
65–69,2011–2012,25509,SA
65–69,2011–2012,8406,TAS
65–69,2011–2012,70531,VIC
65–69,2011–2012,29095,WA
65–69,2012–2013,4674,ACT
65–69,2012–2013,99043,NSW
65–69,2012–2013,1285,NT
65–69,2012–2013,63884,QLD
65–69,2012–2013,24694,SA
65–69,2012–2013,9135,TAS
65–69,2012–2013,75984,VIC
65–69,2012–2013,30663,WA
65–69,2013–2014,5023,ACT
65–69,2013–2014,102906,NSW
65–69,2013–2014,1325,NT
65–69,2013–2014,67463,QLD
65–69,2013–2014,28001,SA
65–69,2013–2014,9318,TAS
65–69,2013–2014,79538,VIC
65–69,2013–2014,31507,WA
65–69,2014–2015,5297,ACT
65–69,2014–2015,108305,NSW
65–69,2014–2015,1351,NT
65–69,2014–2015,70145,QLD
65–69,2014–2015,30514,SA
65–69,2014–2015,10025,TAS
65–69,2014–2015,82083,VIC
65–69,2014–2015,33748,WA
65–69,2015–2016,5642,ACT
65–69,2015–2016,113326,NSW
65–69,2015–2016,1444,NT
65–69,2015–2016,72796,QLD
65–69,2015–2016,31446,SA
65–69,2015–2016,10235,TAS
65–69,2015–2016,86688,VIC
65–69,2015–2016,36075,WA
65–69,2016-2017,5699,ACT
65–69,2016-2017,115460,NSW
65–69,2016-2017,1569,NT
65–69,2016-2017,73531,QLD
65–69,2016-2017,32150,SA
65–69,2016-2017,10439,TAS
65–69,2016-2017,89011,VIC
65–69,2016-2017,36651,WA
70–74,2008–2009,991,ACT
70–74,2008–2009,17982,NSW
70–74,2008–2009,125,NT
70–74,2008–2009,34782,QLD
70–74,2008–2009,7439,SA
70–74,2008–2009,1978,TAS
70–74,2008–2009,21350,VIC
70–74,2008–2009,6769,WA
70–74,2009–2010,1088,ACT
70–74,2009–2010,19500,NSW
70–74,2009–2010,128,NT
70–74,2009–2010,36194,QLD
70–74,2009–2010,7546,SA
70–74,2009–2010,1767,TAS
70–74,2009–2010,17773,VIC
70–74,2009–2010,7110,WA
70–74,2010–2011,991,ACT
70–74,2010–2011,19767,NSW
70–74,2010–2011,132,NT
70–74,2010–2011,37286,QLD
70–74,2010–2011,7821,SA
70–74,2010–2011,1636,TAS
70–74,2010–2011,16146,VIC
70–74,2010–2011,7405,WA
70–74,2011–2012,1053,ACT
70–74,2011–2012,20791,NSW
70–74,2011–2012,163,NT
70–74,2011–2012,38907,QLD
70–74,2011–2012,8256,SA
70–74,2011–2012,1736,TAS
70–74,2011–2012,19147,VIC
70–74,2011–2012,7904,WA
70–74,2012–2013,1449,ACT
70–74,2012–2013,33567,NSW
70–74,2012–2013,263,NT
70–74,2012–2013,40745,QLD
70–74,2012–2013,9063,SA
70–74,2012–2013,1980,TAS
70–74,2012–2013,24990,VIC
70–74,2012–2013,8552,WA
70–74,2013–2014,2236,ACT
70–74,2013–2014,51069,NSW
70–74,2013–2014,363,NT
70–74,2013–2014,43148,QLD
70–74,2013–2014,12783,SA
70–74,2013–2014,4506,TAS
70–74,2013–2014,34228,VIC
70–74,2013–2014,18157,WA
70–74,2014–2015,2829,ACT
70–74,2014–2015,66560,NSW
70–74,2014–2015,492,NT
70–74,2014–2015,46354,QLD
70–74,2014–2015,18109,SA
70–74,2014–2015,5963,TAS
70–74,2014–2015,45485,VIC
70–74,2014–2015,22908,WA
70–74,2015–2016,3244,ACT
70–74,2015–2016,76680,NSW
70–74,2015–2016,623,NT
70–74,2015–2016,49880,QLD
70–74,2015–2016,21159,SA
70–74,2015–2016,6570,TAS
70–74,2015–2016,54149,VIC
70–74,2015–2016,22798,WA
70–74,2016-2017,3719,ACT
70–74,2016-2017,83004,NSW
70–74,2016-2017,720,NT
70–74,2016-2017,53296,QLD
70–74,2016-2017,22814,SA
70–74,2016-2017,7650,TAS
70–74,2016-2017,61754,VIC
70–74,2016-2017,25749,WA
75–79,2008–2009,336,ACT
75–79,2008–2009,7125,NSW
75–79,2008–2009,41,NT
75–79,2008–2009,10746,QLD
75–79,2008–2009,3549,SA
75–79,2008–2009,769,TAS
75–79,2008–2009,6537,VIC
75–79,2008–2009,3052,WA
75–79,2009–2010,349,ACT
75–79,2009–2010,7119,NSW
75–79,2009–2010,36,NT
75–79,2009–2010,10550,QLD
75–79,2009–2010,3590,SA
75–79,2009–2010,733,TAS
75–79,2009–2010,6304,VIC
75–79,2009–2010,3225,WA
75–79,2010–2011,348,ACT
75–79,2010–2011,7131,NSW
75–79,2010–2011,41,NT
75–79,2010–2011,10629,QLD
75–79,2010–2011,3617,SA
75–79,2010–2011,714,TAS
75–79,2010–2011,6210,VIC
75–79,2010–2011,3404,WA
75–79,2011–2012,392,ACT
75–79,2011–2012,7847,NSW
75–79,2011–2012,50,NT
75–79,2011–2012,11091,QLD
75–79,2011–2012,4078,SA
75–79,2011–2012,726,TAS
75–79,2011–2012,7058,VIC
75–79,2011–2012,3767,WA
75–79,2012–2013,455,ACT
75–79,2012–2013,9128,NSW
75–79,2012–2013,68,NT
75–79,2012–2013,11718,QLD
75–79,2012–2013,4462,SA
75–79,2012–2013,829,TAS
75–79,2012–2013,8843,VIC
75–79,2012–2013,4184,WA
75–79,2013–2014,498,ACT
75–79,2013–2014,10109,NSW
75–79,2013–2014,100,NT
75–79,2013–2014,12384,QLD
75–79,2013–2014,4617,SA
75–79,2013–2014,819,TAS
75–79,2013–2014,9512,VIC
75–79,2013–2014,4749,WA
75–79,2014–2015,522,ACT
75–79,2014–2015,10972,NSW
75–79,2014–2015,114,NT
75–79,2014–2015,12980,QLD
75–79,2014–2015,4993,SA
75–79,2014–2015,672,TAS
75–79,2014–2015,9887,VIC
