AGE GROUP (YEARS),NUM_WOMEN,Period,Screen,STATE
45–49,1792,2011,1,WA
45–49,122,2011,2,ACT
45–49,1770,2011,2,NSW
45–49,56,2011,2,NT
45–49,4619,2011,2,QLD
45–49,661,2011,2,SA
45–49,576,2011,2,TAS
45–49,1869,2011,2,VIC
45–49,1833,2011,2,WA
45–49,25,2011,3+,ACT
45–49,2129,2011,3+,NSW
45–49,138,2011,3+,NT
45–49,15571,2011,3+,QLD
45–49,1804,2011,3+,SA
45–49,1567,2011,3+,TAS
45–49,1545,2011,3+,VIC
45–49,3262,2011,3+,WA
45–49,228,2012,1,ACT
45–49,2470,2012,1,NSW
45–49,76,2012,1,NT
45–49,3353,2012,1,QLD
45–49,920,2012,1,SA
45–49,439,2012,1,TAS
45–49,2476,2012,1,VIC
45–49,1528,2012,1,WA
45–49,156,2012,2,ACT
45–49,1777,2012,2,NSW
45–49,40,2012,2,NT
45–49,4122,2012,2,QLD
45–49,780,2012,2,SA
45–49,503,2012,2,TAS
45–49,2185,2012,2,VIC
45–49,1353,2012,2,WA
45–49,47,2012,3+,ACT
45–49,1962,2012,3+,NSW
45–49,85,2012,3+,NT
45–49,14579,2012,3+,QLD
45–49,1946,2012,3+,SA
45–49,1648,2012,3+,TAS
45–49,1524,2012,3+,VIC
45–49,3003,2012,3+,WA
45–49,230,2013,1,ACT
45–49,2860,2013,1,NSW
45–49,265,2013,1,NT
45–49,4286,2013,1,QLD
45–49,1189,2013,1,SA
45–49,485,2013,1,TAS
45–49,3232,2013,1,VIC
45–49,1832,2013,1,WA
45–49,195,2013,2,ACT
45–49,1918,2013,2,NSW
45–49,36,2013,2,NT
45–49,4017,2013,2,QLD
45–49,689,2013,2,SA
45–49,479,2013,2,TAS
45–49,1451,2013,2,VIC
45–49,1459,2013,2,WA
45–49,96,2013,3+,ACT
45–49,1987,2013,3+,NSW
45–49,90,2013,3+,NT
45–49,15177,2013,3+,QLD
45–49,1679,2013,3+,SA
45–49,1509,2013,3+,TAS
45–49,1412,2013,3+,VIC
45–49,3001,2013,3+,WA
45–49,215,2014,1,ACT
45–49,2602,2014,1,NSW
45–49,119,2014,1,NT
45–49,4002,2014,1,QLD
45–49,1048,2014,1,SA
45–49,477,2014,1,TAS
45–49,2638,2014,1,VIC
45–49,1706,2014,1,WA
45–49,179,2014,2,ACT
45–49,1677,2014,2,NSW
45–49,45,2014,2,NT
45–49,4161,2014,2,QLD
45–49,1170,2014,2,SA
45–49,482,2014,2,TAS
45–49,1569,2014,2,VIC
45–49,1424,2014,2,WA
45–49,134,2014,3+,ACT
45–49,1876,2014,3+,NSW
45–49,57,2014,3+,NT
45–49,13858,2014,3+,QLD
45–49,2210,2014,3+,SA
45–49,1380,2014,3+,TAS
45–49,1509,2014,3+,VIC
45–49,2757,2014,3+,WA
45–49,167,2015,1,ACT
45–49,2279,2015,1,NSW
45–49,97,2015,1,NT
45–49,3731,2015,1,QLD
45–49,1104,2015,1,SA
45–49,422,2015,1,TAS
45–49,2178,2015,1,VIC
45–49,1581,2015,1,WA
45–49,141,2015,2,ACT
45–49,1734,2015,2,NSW
45–49,184,2015,2,NT
45–49,4793,2015,2,QLD
45–49,1493,2015,2,SA
45–49,604,2015,2,TAS
45–49,1930,2015,2,VIC
45–49,1815,2015,2,WA
45–49,109,2015,3+,ACT
45–49,1954,2015,3+,NSW
45–49,79,2015,3+,NT
45–49,13316,2015,3+,QLD
45–49,1940,2015,3+,SA
45–49,1487,2015,3+,TAS
45–49,1515,2015,3+,VIC
45–49,2997,2015,3+,WA
50–54,681,2006,1,ACT
50–54,6771,2006,1,NSW
50–54,203,2006,1,NT
50–54,3898,2006,1,QLD
50–54,1589,2006,1,SA
50–54,481,2006,1,TAS
50–54,7334,2006,1,VIC
50–54,2913,2006,1,WA
50–54,266,2006,2,ACT
50–54,6087,2006,2,NSW
50–54,136,2006,2,NT
50–54,4128,2006,2,QLD
50–54,2620,2006,2,SA
50–54,502,2006,2,TAS
50–54,9792,2006,2,VIC
50–54,3378,2006,2,WA
50–54,1073,2006,3+,ACT
50–54,25298,2006,3+,NSW
50–54,389,2006,3+,NT
50–54,20065,2006,3+,QLD
50–54,6024,2006,3+,SA
50–54,2020,2006,3+,TAS
50–54,11174,2006,3+,VIC
50–54,7843,2006,3+,WA
50–54,853,2007,1,ACT
50–54,8266,2007,1,NSW
50–54,198,2007,1,NT
50–54,3607,2007,1,QLD
50–54,1929,2007,1,SA
50–54,515,2007,1,TAS
50–54,5959,2007,1,VIC
50–54,2926,2007,1,WA
50–54,549,2007,2,ACT
50–54,6843,2007,2,NSW
50–54,175,2007,2,NT
50–54,4925,2007,2,QLD
50–54,2623,2007,2,SA
50–54,639,2007,2,TAS
50–54,8453,2007,2,VIC
50–54,3145,2007,2,WA
50–54,1784,2007,3+,ACT
50–54,22021,2007,3+,NSW
50–54,439,2007,3+,NT
50–54,20213,2007,3+,QLD
50–54,6064,2007,3+,SA
50–54,2229,2007,3+,TAS
50–54,10828,2007,3+,VIC
50–54,6920,2007,3+,WA
50–54,758,2008,1,ACT
50–54,8908,2008,1,NSW
50–54,211,2008,1,NT
50–54,4504,2008,1,QLD
50–54,3116,2008,1,SA
50–54,531,2008,1,TAS
50–54,6253,2008,1,VIC
50–54,3798,2008,1,WA
50–54,757,2008,2,ACT
50–54,10990,2008,2,NSW
50–54,178,2008,2,NT
50–54,4923,2008,2,QLD
50–54,2398,2008,2,SA
50–54,747,2008,2,TAS
50–54,9409,2008,2,VIC
50–54,3319,2008,2,WA
50–54,1330,2008,3+,ACT
50–54,22763,2008,3+,NSW
50–54,340,2008,3+,NT
50–54,21910,2008,3+,QLD
50–54,6347,2008,3+,SA
50–54,2419,2008,3+,TAS
50–54,12168,2008,3+,VIC
50–54,7721,2008,3+,WA
50–54,745,2009,1,ACT
50–54,8877,2009,1,NSW
50–54,263,2009,1,NT
50–54,4006,2009,1,QLD
50–54,2953,2009,1,SA
50–54,546,2009,1,TAS
50–54,8559,2009,1,VIC
50–54,3648,2009,1,WA
50–54,662,2009,2,ACT
50–54,10882,2009,2,NSW
50–54,169,2009,2,NT
50–54,4435,2009,2,QLD
50–54,2430,2009,2,SA
50–54,702,2009,2,TAS
50–54,10277,2009,2,VIC
50–54,3886,2009,2,WA
50–54,1156,2009,3+,ACT
50–54,20947,2009,3+,NSW
50–54,480,2009,3+,NT
50–54,22775,2009,3+,QLD
50–54,6046,2009,3+,SA
50–54,2788,2009,3+,TAS
50–54,13327,2009,3+,VIC
50–54,8567,2009,3+,WA
50–54,608,2010,1,ACT
50–54,7750,2010,1,NSW
50–54,206,2010,1,NT
50–54,3926,2010,1,QLD
50–54,2594,2010,1,SA
50–54,588,2010,1,TAS
50–54,11113,2010,1,VIC
50–54,4003,2010,1,WA
50–54,567,2010,2,ACT
50–54,9943,2010,2,NSW
50–54,182,2010,2,NT
50–54,4709,2010,2,QLD
50–54,2966,2010,2,SA
50–54,631,2010,2,TAS
50–54,8747,2010,2,VIC
50–54,4395,2010,2,WA
50–54,955,2010,3+,ACT
50–54,23762,2010,3+,NSW
50–54,352,2010,3+,NT
50–54,22976,2010,3+,QLD
50–54,5435,2010,3+,SA
50–54,2757,2010,3+,TAS
50–54,13339,2010,3+,VIC
50–54,8632,2010,3+,WA
50–54,588,2011,1,ACT
50–54,7794,2011,1,NSW
50–54,222,2011,1,NT
50–54,3819,2011,1,QLD
50–54,1903,2011,1,SA
50–54,520,2011,1,TAS
50–54,10628,2011,1,VIC
50–54,3816,2011,1,WA
50–54,704,2011,2,ACT
50–54,10141,2011,2,NSW
50–54,176,2011,2,NT
50–54,4802,2011,2,QLD
50–54,2477,2011,2,SA
50–54,606,2011,2,TAS
50–54,9712,2011,2,VIC
50–54,3970,2011,2,WA
50–54,840,2011,3+,ACT
50–54,23112,2011,3+,NSW
50–54,377,2011,3+,NT
50–54,24255,2011,3+,QLD
50–54,4760,2011,3+,SA
50–54,2792,2011,3+,TAS
50–54,12687,2011,3+,VIC
50–54,8804,2011,3+,WA
50–54,623,2012,1,ACT
50–54,9871,2012,1,NSW
50–54,232,2012,1,NT
50–54,4156,2012,1,QLD
50–54,2682,2012,1,SA
50–54,499,2012,1,TAS
50–54,9444,2012,1,VIC
50–54,2974,2012,1,WA
50–54,668,2012,2,ACT
50–54,10282,2012,2,NSW
50–54,136,2012,2,NT
50–54,4625,2012,2,QLD
50–54,2788,2012,2,SA
50–54,617,2012,2,TAS
50–54,11074,2012,2,VIC
50–54,3311,2012,2,WA
50–54,753,2012,3+,ACT
50–54,22459,2012,3+,NSW
50–54,287,2012,3+,NT
50–54,24306,2012,3+,QLD
50–54,5480,2012,3+,SA
50–54,2957,2012,3+,TAS
50–54,11553,2012,3+,VIC
50–54,8105,2012,3+,WA
50–54,717,2013,1,ACT
50–54,12878,2013,1,NSW
50–54,284,2013,1,NT
50–54,4477,2013,1,QLD
50–54,2202,2013,1,SA
50–54,503,2013,1,TAS
50–54,10661,2013,1,VIC
50–54,2990,2013,1,WA
50–54,638,2013,2,ACT
50–54,10508,2013,2,NSW
50–54,162,2013,2,NT
50–54,4497,2013,2,QLD
50–54,2343,2013,2,SA
50–54,583,2013,2,TAS
50–54,12200,2013,2,VIC
50–54,3314,2013,2,WA
50–54,750,2013,3+,ACT
50–54,20844,2013,3+,NSW
50–54,298,2013,3+,NT
50–54,26062,2013,3+,QLD
50–54,5280,2013,3+,SA
50–54,2801,2013,3+,TAS
50–54,12434,2013,3+,VIC
50–54,8021,2013,3+,WA
50–54,564,2014,1,ACT
50–54,11548,2014,1,NSW
50–54,206,2014,1,NT
50–54,4041,2014,1,QLD
50–54,2015,2014,1,SA
50–54,441,2014,1,TAS
50–54,9614,2014,1,VIC
50–54,3215,2014,1,WA
50–54,733,2014,2,ACT
50–54,12555,2014,2,NSW
50–54,178,2014,2,NT
50–54,4439,2014,2,QLD
50–54,3687,2014,2,SA
50–54,472,2014,2,TAS
50–54,12112,2014,2,VIC
50–54,3306,2014,2,WA
50–54,837,2014,3+,ACT
50–54,20488,2014,3+,NSW
50–54,234,2014,3+,NT
50–54,24983,2014,3+,QLD
50–54,7080,2014,3+,SA
50–54,3002,2014,3+,TAS
50–54,14664,2014,3+,VIC
50–54,8065,2014,3+,WA
50–54,778,2015,1,ACT
50–54,12279,2015,1,NSW
50–54,207,2015,1,NT
50–54,3613,2015,1,QLD
50–54,3212,2015,1,SA
50–54,434,2015,1,TAS
50–54,10146,2015,1,VIC
50–54,3177,2015,1,WA
50–54,749,2015,2,ACT
50–54,14726,2015,2,NSW
50–54,269,2015,2,NT
50–54,4636,2015,2,QLD
50–54,3258,2015,2,SA
50–54,565,2015,2,TAS
50–54,13636,2015,2,VIC
50–54,3831,2015,2,WA
50–54,876,2015,3+,ACT
50–54,20057,2015,3+,NSW
50–54,296,2015,3+,NT
50–54,25466,2015,3+,QLD
50–54,5959,2015,3+,SA
50–54,3005,2015,3+,TAS
50–54,15106,2015,3+,VIC
50–54,8799,2015,3+,WA
55–59,198,2006,1,ACT
55–59,2993,2006,1,NSW
55–59,73,2006,1,NT
55–59,1709,2006,1,QLD
55–59,263,2006,1,SA
55–59,225,2006,1,TAS
55–59,1034,2006,1,VIC
55–59,635,2006,1,WA
55–59,172,2006,2,ACT
55–59,3573,2006,2,NSW
55–59,73,2006,2,NT
55–59,2332,2006,2,QLD
55–59,459,2006,2,SA
55–59,268,2006,2,TAS
55–59,1658,2006,2,VIC
55–59,1147,2006,2,WA
55–59,1932,2006,3+,ACT
55–59,32829,2006,3+,NSW
55–59,602,2006,3+,NT
55–59,26977,2006,3+,QLD
55–59,10685,2006,3+,SA
55–59,3020,2006,3+,TAS
55–59,26393,2006,3+,VIC
55–59,13328,2006,3+,WA
55–59,238,2007,1,ACT
55–59,4644,2007,1,NSW
55–59,74,2007,1,NT
55–59,1704,2007,1,QLD
55–59,342,2007,1,SA
55–59,235,2007,1,TAS
55–59,918,2007,1,VIC
55–59,598,2007,1,WA
55–59,358,2007,2,ACT
55–59,3987,2007,2,NSW
55–59,89,2007,2,NT
55–59,2654,2007,2,QLD
55–59,510,2007,2,SA
55–59,332,2007,2,TAS
55–59,1778,2007,2,VIC
55–59,998,2007,2,WA
55–59,3314,2007,3+,ACT
55–59,31425,2007,3+,NSW
55–59,631,2007,3+,NT
55–59,26063,2007,3+,QLD
55–59,11114,2007,3+,SA
55–59,3355,2007,3+,TAS
55–59,26337,2007,3+,VIC
55–59,10873,2007,3+,WA
55–59,193,2008,1,ACT
55–59,3671,2008,1,NSW
55–59,76,2008,1,NT
55–59,2033,2008,1,QLD
55–59,354,2008,1,SA
55–59,278,2008,1,TAS
55–59,1197,2008,1,VIC
55–59,799,2008,1,WA
55–59,422,2008,2,ACT
55–59,8269,2008,2,NSW
55–59,80,2008,2,NT
55–59,2414,2008,2,QLD
55–59,578,2008,2,SA
55–59,360,2008,2,TAS
55–59,2042,2008,2,VIC
55–59,1083,2008,2,WA
55–59,2832,2008,3+,ACT
55–59,32941,2008,3+,NSW
55–59,609,2008,3+,NT
55–59,28227,2008,3+,QLD
55–59,11645,2008,3+,SA
55–59,3613,2008,3+,TAS
55–59,27625,2008,3+,VIC
55–59,13557,2008,3+,WA
55–59,142,2009,1,ACT
55–59,3603,2009,1,NSW
55–59,95,2009,1,NT
55–59,1702,2009,1,QLD
55–59,323,2009,1,SA
55–59,284,2009,1,TAS
55–59,1272,2009,1,VIC
55–59,778,2009,1,WA
55–59,264,2009,2,ACT
55–59,7625,2009,2,NSW
55–59,109,2009,2,NT
55–59,2320,2009,2,QLD
55–59,590,2009,2,SA
55–59,395,2009,2,TAS
55–59,2207,2009,2,VIC
55–59,1303,2009,2,WA
55–59,2695,2009,3+,ACT
55–59,34928,2009,3+,NSW
55–59,680,2009,3+,NT
55–59,28773,2009,3+,QLD
55–59,11492,2009,3+,SA
55–59,3841,2009,3+,TAS
55–59,31457,2009,3+,VIC
55–59,13998,2009,3+,WA
55–59,125,2010,1,ACT
55–59,2656,2010,1,NSW
55–59,93,2010,1,NT
55–59,1622,2010,1,QLD
55–59,307,2010,1,SA
55–59,314,2010,1,TAS
55–59,1279,2010,1,VIC
55–59,816,2010,1,WA
55–59,186,2010,2,ACT
55–59,4070,2010,2,NSW
55–59,105,2010,2,NT
55–59,2498,2010,2,QLD
55–59,599,2010,2,SA
55–59,371,2010,2,TAS
55–59,2445,2010,2,VIC
55–59,1412,2010,2,WA
55–59,2092,2010,3+,ACT
55–59,39270,2010,3+,NSW
55–59,643,2010,3+,NT
55–59,28205,2010,3+,QLD
55–59,11018,2010,3+,SA
55–59,3648,2010,3+,TAS
55–59,31651,2010,3+,VIC
55–59,15184,2010,3+,WA
55–59,120,2011,1,ACT
55–59,2653,2011,1,NSW
55–59,90,2011,1,NT
55–59,1398,2011,1,QLD
55–59,252,2011,1,SA
55–59,288,2011,1,TAS
55–59,1149,2011,1,VIC
55–59,745,2011,1,WA
55–59,211,2011,2,ACT
55–59,3784,2011,2,NSW
55–59,99,2011,2,NT
55–59,2332,2011,2,QLD
55–59,509,2011,2,SA
55–59,364,2011,2,TAS
55–59,2194,2011,2,VIC
55–59,1322,2011,2,WA
55–59,2343,2011,3+,ACT
55–59,40844,2011,3+,NSW
55–59,597,2011,3+,NT
55–59,29676,2011,3+,QLD
55–59,9143,2011,3+,SA
55–59,3766,2011,3+,TAS
55–59,30119,2011,3+,VIC
55–59,14643,2011,3+,WA
55–59,143,2012,1,ACT
55–59,2226,2012,1,NSW
55–59,83,2012,1,NT
55–59,1546,2012,1,QLD
55–59,383,2012,1,SA
55–59,236,2012,1,TAS
55–59,1530,2012,1,VIC
55–59,634,2012,1,WA
55–59,249,2012,2,ACT
55–59,3885,2012,2,NSW
55–59,85,2012,2,NT
55–59,2318,2012,2,QLD
55–59,645,2012,2,SA
55–59,375,2012,2,TAS
55–59,2689,2012,2,VIC
55–59,1093,2012,2,WA
55–59,2029,2012,3+,ACT
55–59,42658,2012,3+,NSW
55–59,523,2012,3+,NT
55–59,30227,2012,3+,QLD
55–59,10731,2012,3+,SA
55–59,3771,2012,3+,TAS
55–59,29414,2012,3+,VIC
55–59,13426,2012,3+,WA
55–59,169,2013,1,ACT
55–59,2676,2013,1,NSW
55–59,97,2013,1,NT
