AGE GROUP (YEARS),Period,STATE,Cancer,NUM_WOMEN
35–39,2010–2014,ACT,Invasive,54
35–39,2010–2014,NSW,Invasive,807
35–39,2010–2014,NT,Invasive,22
35–39,2010–2014,QLD,Invasive,470
35–39,2010–2014,SA,Invasive,160
35–39,2010–2014,TAS,Invasive,44
35–39,2010–2014,VIC,Invasive,619
35–39,2010–2014,WA,Invasive,276
40–44,1998–2002,ACT,Invasive,75
40–44,1998–2002,NSW,Invasive,1497
40–44,1998–2002,NT,Invasive,36
40–44,1998–2002,QLD,Invasive,799
40–44,1998–2002,SA,Invasive,343
40–44,1998–2002,TAS,Invasive,101
40–44,1998–2002,VIC,Invasive,1092
40–44,1998–2002,WA,Invasive,393
40–44,1999–2003,ACT,Invasive,80
40–44,1999–2003,NSW,Invasive,1507
40–44,1999–2003,NT,Invasive,38
40–44,1999–2003,QLD,Invasive,826
40–44,1999–2003,SA,Invasive,339
40–44,1999–2003,TAS,Invasive,101
40–44,1999–2003,VIC,Invasive,1125
40–44,1999–2003,WA,Invasive,394
40–44,2003–2007,ACT,Invasive,87
40–44,2003–2007,NSW,Invasive,1543
40–44,2003–2007,NT,Invasive,39
40–44,2003–2007,QLD,Invasive,947
40–44,2003–2007,SA,Invasive,341
40–44,2003–2007,TAS,Invasive,121
40–44,2003–2007,VIC,Invasive,1158
40–44,2003–2007,WA,Invasive,448
40–44,2004–2008,ACT,Invasive,77
40–44,2004–2008,NSW,Invasive,1551
40–44,2004–2008,NT,Invasive,38
40–44,2004–2008,QLD,Invasive,998
40–44,2004–2008,SA,Invasive,344
40–44,2004–2008,TAS,Invasive,118
40–44,2004–2008,VIC,Invasive,1182
40–44,2004–2008,WA,Invasive,472
40–44,2005–2009,ACT,Invasive,71
40–44,2005–2009,NSW,Invasive,1555
40–44,2005–2009,NT,Invasive,39
40–44,2005–2009,QLD,Invasive,1000
40–44,2005–2009,SA,Invasive,340
40–44,2005–2009,TAS,Invasive,116
40–44,2005–2009,VIC,Invasive,1174
40–44,2005–2009,WA,Invasive,487
40–44,2006–2010,ACT,Invasive,78
40–44,2006–2010,NSW,Invasive,1490
40–44,2006–2010,NT,Invasive,40
40–44,2006–2010,QLD,Invasive,994
40–44,2006–2010,SA,Invasive,349
40–44,2006–2010,TAS,Invasive,108
40–44,2006–2010,VIC,Invasive,1204
40–44,2006–2010,WA,Invasive,467
40–44,2008–2012,ACT,Invasive,97
40–44,2008–2012,NSW,Invasive,1534
40–44,2008–2012,NT,Invasive,43
40–44,2008–2012,QLD,Invasive,982
40–44,2008–2012,SA,Invasive,348
40–44,2008–2012,TAS,Invasive,109
40–44,2008–2012,VIC,Invasive,1247
40–44,2008–2012,WA,Invasive,489
40–44,2009–2013,ACT,Invasive,108
40–44,2009–2013,NSW,Invasive,1577
40–44,2009–2013,NT,Invasive,42
40–44,2009–2013,QLD,Invasive,997
40–44,2009–2013,SA,Invasive,353
40–44,2009–2013,TAS,Invasive,110
40–44,2009–2013,VIC,Invasive,1264
40–44,2009–2013,WA,Invasive,526
40–44,2010–2014,ACT,Invasive,107
40–44,2010–2014,NSW,Invasive,1693
40–44,2010–2014,NT,Invasive,43
40–44,2010–2014,QLD,Invasive,1030
40–44,2010–2014,SA,Invasive,346
40–44,2010–2014,TAS,Invasive,112
40–44,2010–2014,VIC,Invasive,1332
40–44,2010–2014,WA,Invasive,533
45–49,1998–2002,ACT,Invasive,118
45–49,1998–2002,NSW,Invasive,1982
45–49,1998–2002,NT,Invasive,46
45–49,1998–2002,QLD,Invasive,1188
45–49,1998–2002,SA,Invasive,509
45–49,1998–2002,TAS,Invasive,151
45–49,1998–2002,VIC,Invasive,1527
45–49,1998–2002,WA,Invasive,616
45–49,1999–2003,ACT,Invasive,119
45–49,1999–2003,NSW,Invasive,1997
45–49,1999–2003,NT,Invasive,49
45–49,1999–2003,QLD,Invasive,1247
45–49,1999–2003,SA,Invasive,494
45–49,1999–2003,TAS,Invasive,158
45–49,1999–2003,VIC,Invasive,1576
45–49,1999–2003,WA,Invasive,646
45–49,2003–2007,ACT,Invasive,125
45–49,2003–2007,NSW,Invasive,2235
45–49,2003–2007,NT,Invasive,44
45–49,2003–2007,QLD,Invasive,1371
45–49,2003–2007,SA,Invasive,507
45–49,2003–2007,TAS,Invasive,172
45–49,2003–2007,VIC,Invasive,1719
45–49,2003–2007,WA,Invasive,748
45–49,2004–2008,ACT,Invasive,129
45–49,2004–2008,NSW,Invasive,2287
45–49,2004–2008,NT,Invasive,42
45–49,2004–2008,QLD,Invasive,1414
45–49,2004–2008,SA,Invasive,506
45–49,2004–2008,TAS,Invasive,181
45–49,2004–2008,VIC,Invasive,1742
45–49,2004–2008,WA,Invasive,763
45–49,2005–2009,ACT,Invasive,137
45–49,2005–2009,NSW,Invasive,2350
45–49,2005–2009,NT,Invasive,40
45–49,2005–2009,QLD,Invasive,1449
45–49,2005–2009,SA,Invasive,545
45–49,2005–2009,TAS,Invasive,201
45–49,2005–2009,VIC,Invasive,1721
45–49,2005–2009,WA,Invasive,791
45–49,2006–2010,ACT,Invasive,150
45–49,2006–2010,NSW,Invasive,2378
45–49,2006–2010,NT,Invasive,46
45–49,2006–2010,QLD,Invasive,1506
45–49,2006–2010,SA,Invasive,548
45–49,2006–2010,TAS,Invasive,186
45–49,2006–2010,VIC,Invasive,1748
45–49,2006–2010,WA,Invasive,813
45–49,2008–2012,ACT,Invasive,138
45–49,2008–2012,NSW,Invasive,2499
45–49,2008–2012,NT,Invasive,56
45–49,2008–2012,QLD,Invasive,1618
45–49,2008–2012,SA,Invasive,528
45–49,2008–2012,TAS,Invasive,188
45–49,2008–2012,VIC,Invasive,1884
45–49,2008–2012,WA,Invasive,825
45–49,2009–2013,ACT,Invasive,131
45–49,2009–2013,NSW,Invasive,2565
45–49,2009–2013,NT,Invasive,62
45–49,2009–2013,QLD,Invasive,1684
45–49,2009–2013,SA,Invasive,563
45–49,2009–2013,TAS,Invasive,181
45–49,2009–2013,VIC,Invasive,1937
45–49,2009–2013,WA,Invasive,831
45–49,2010–2014,ACT,Invasive,131
45–49,2010–2014,NSW,Invasive,2547
45–49,2010–2014,NT,Invasive,68
45–49,2010–2014,QLD,Invasive,1734
45–49,2010–2014,SA,Invasive,568
45–49,2010–2014,TAS,Invasive,173
45–49,2010–2014,VIC,Invasive,2006
45–49,2010–2014,WA,Invasive,832
50–54,1998–2002,ACT,Invasive,176
50–54,1998–2002,NSW,Invasive,2540
50–54,1998–2002,NT,Invasive,53
50–54,1998–2002,QLD,Invasive,1417
50–54,1998–2002,SA,Invasive,726
50–54,1998–2002,TAS,Invasive,199
50–54,1998–2002,VIC,Invasive,1929
50–54,1998–2002,WA,Invasive,778
50–54,1999–2003,ACT,Invasive,174
50–54,1999–2003,NSW,Invasive,2508
50–54,1999–2003,NT,Invasive,59
50–54,1999–2003,QLD,Invasive,1450
50–54,1999–2003,SA,Invasive,720
50–54,1999–2003,TAS,Invasive,191
50–54,1999–2003,VIC,Invasive,1942
50–54,1999–2003,WA,Invasive,826
50–54,2003–2007,ACT,Invasive,150
50–54,2003–2007,NSW,Invasive,2553
50–54,2003–2007,NT,Invasive,63
50–54,2003–2007,QLD,Invasive,1520
50–54,2003–2007,SA,Invasive,638
50–54,2003–2007,TAS,Invasive,189
50–54,2003–2007,VIC,Invasive,1878
50–54,2003–2007,WA,Invasive,861
50–54,2004–2008,ACT,Invasive,157
50–54,2004–2008,NSW,Invasive,2616
50–54,2004–2008,NT,Invasive,68
50–54,2004–2008,QLD,Invasive,1605
50–54,2004–2008,SA,Invasive,658
50–54,2004–2008,TAS,Invasive,182
50–54,2004–2008,VIC,Invasive,1980
50–54,2004–2008,WA,Invasive,854
50–54,2005–2009,ACT,Invasive,158
50–54,2005–2009,NSW,Invasive,2651
50–54,2005–2009,NT,Invasive,73
50–54,2005–2009,QLD,Invasive,1653
50–54,2005–2009,SA,Invasive,647
50–54,2005–2009,TAS,Invasive,194
50–54,2005–2009,VIC,Invasive,1980
50–54,2005–2009,WA,Invasive,822
50–54,2006–2010,ACT,Invasive,144
50–54,2006–2010,NSW,Invasive,2680
50–54,2006–2010,NT,Invasive,78
50–54,2006–2010,QLD,Invasive,1724
50–54,2006–2010,SA,Invasive,654
50–54,2006–2010,TAS,Invasive,200
50–54,2006–2010,VIC,Invasive,2080
50–54,2006–2010,WA,Invasive,844
50–54,2008–2012,ACT,Invasive,145
50–54,2008–2012,NSW,Invasive,2891
50–54,2008–2012,NT,Invasive,80
50–54,2008–2012,QLD,Invasive,1845
50–54,2008–2012,SA,Invasive,695
50–54,2008–2012,TAS,Invasive,230
50–54,2008–2012,VIC,Invasive,2319
50–54,2008–2012,WA,Invasive,925
50–54,2009–2013,ACT,Invasive,146
50–54,2009–2013,NSW,Invasive,3016
50–54,2009–2013,NT,Invasive,86
50–54,2009–2013,QLD,Invasive,1935
50–54,2009–2013,SA,Invasive,699
50–54,2009–2013,TAS,Invasive,258
50–54,2009–2013,VIC,Invasive,2411
50–54,2009–2013,WA,Invasive,949
50–54,2010–2014,ACT,Invasive,150
50–54,2010–2014,NSW,Invasive,3137
50–54,2010–2014,NT,Invasive,87
50–54,2010–2014,QLD,Invasive,1998
50–54,2010–2014,SA,Invasive,740
50–54,2010–2014,TAS,Invasive,258
50–54,2010–2014,VIC,Invasive,2510
50–54,2010–2014,WA,Invasive,990
55–59,1998–2002,ACT,Invasive,131
55–59,1998–2002,NSW,Invasive,2441
55–59,1998–2002,NT,Invasive,38
55–59,1998–2002,QLD,Invasive,1367
55–59,1998–2002,SA,Invasive,630
55–59,1998–2002,TAS,Invasive,180
55–59,1998–2002,VIC,Invasive,1690
55–59,1998–2002,WA,Invasive,677
55–59,1999–2003,ACT,Invasive,142
55–59,1999–2003,NSW,Invasive,2577
55–59,1999–2003,NT,Invasive,46
55–59,1999–2003,QLD,Invasive,1470
55–59,1999–2003,SA,Invasive,663
55–59,1999–2003,TAS,Invasive,196
55–59,1999–2003,VIC,Invasive,1750
55–59,1999–2003,WA,Invasive,738
55–59,2003–2007,ACT,Invasive,161
55–59,2003–2007,NSW,Invasive,2849
55–59,2003–2007,NT,Invasive,39
55–59,2003–2007,QLD,Invasive,1679
55–59,2003–2007,SA,Invasive,714
55–59,2003–2007,TAS,Invasive,218
55–59,2003–2007,VIC,Invasive,2033
55–59,2003–2007,WA,Invasive,779
55–59,2004–2008,ACT,Invasive,160
55–59,2004–2008,NSW,Invasive,2842
55–59,2004–2008,NT,Invasive,31
55–59,2004–2008,QLD,Invasive,1724
55–59,2004–2008,SA,Invasive,684
55–59,2004–2008,TAS,Invasive,204
55–59,2004–2008,VIC,Invasive,2091
55–59,2004–2008,WA,Invasive,784
55–59,2005–2009,ACT,Invasive,169
55–59,2005–2009,NSW,Invasive,2849
55–59,2005–2009,NT,Invasive,43
55–59,2005–2009,QLD,Invasive,1737
55–59,2005–2009,SA,Invasive,643
55–59,2005–2009,TAS,Invasive,197
55–59,2005–2009,VIC,Invasive,2059
55–59,2005–2009,WA,Invasive,790
55–59,2006–2010,ACT,Invasive,167
55–59,2006–2010,NSW,Invasive,2908
55–59,2006–2010,NT,Invasive,56
55–59,2006–2010,QLD,Invasive,1728
55–59,2006–2010,SA,Invasive,668
55–59,2006–2010,TAS,Invasive,192
55–59,2006–2010,VIC,Invasive,2100
55–59,2006–2010,WA,Invasive,836
55–59,2008–2012,ACT,Invasive,173
55–59,2008–2012,NSW,Invasive,2845
55–59,2008–2012,NT,Invasive,71
55–59,2008–2012,QLD,Invasive,1703
55–59,2008–2012,SA,Invasive,651
55–59,2008–2012,TAS,Invasive,222
55–59,2008–2012,VIC,Invasive,2115
55–59,2008–2012,WA,Invasive,909
55–59,2009–2013,ACT,Invasive,165
55–59,2009–2013,NSW,Invasive,2881
55–59,2009–2013,NT,Invasive,81
55–59,2009–2013,QLD,Invasive,1738
55–59,2009–2013,SA,Invasive,679
55–59,2009–2013,TAS,Invasive,219
55–59,2009–2013,VIC,Invasive,2161
55–59,2009–2013,WA,Invasive,952
55–59,2010–2014,ACT,Invasive,159
55–59,2010–2014,NSW,Invasive,2985
55–59,2010–2014,NT,Invasive,73
55–59,2010–2014,QLD,Invasive,1760
55–59,2010–2014,SA,Invasive,729
55–59,2010–2014,TAS,Invasive,226
55–59,2010–2014,VIC,Invasive,2261
55–59,2010–2014,WA,Invasive,995
60–64,1998–2002,ACT,Invasive,94
60–64,1998–2002,NSW,Invasive,2160
60–64,1998–2002,NT,Invasive,28
60–64,1998–2002,QLD,Invasive,1298
60–64,1998–2002,SA,Invasive,586
60–64,1998–2002,TAS,Invasive,172
60–64,1998–2002,VIC,Invasive,1624
60–64,1998–2002,WA,Invasive,620
60–64,1999–2003,ACT,Invasive,94
60–64,1999–2003,NSW,Invasive,2298
60–64,1999–2003,NT,Invasive,33
60–64,1999–2003,QLD,Invasive,1342
60–64,1999–2003,SA,Invasive,592
60–64,1999–2003,TAS,Invasive,185
60–64,1999–2003,VIC,Invasive,1637
60–64,1999–2003,WA,Invasive,666
60–64,2003–2007,ACT,Invasive,121
60–64,2003–2007,NSW,Invasive,2670
60–64,2003–2007,NT,Invasive,36
60–64,2003–2007,QLD,Invasive,1535
60–64,2003–2007,SA,Invasive,677
60–64,2003–2007,TAS,Invasive,198
60–64,2003–2007,VIC,Invasive,1782
60–64,2003–2007,WA,Invasive,719
60–64,2004–2008,ACT,Invasive,130
60–64,2004–2008,NSW,Invasive,2800
60–64,2004–2008,NT,Invasive,37
60–64,2004–2008,QLD,Invasive,1656
60–64,2004–2008,SA,Invasive,737
60–64,2004–2008,TAS,Invasive,204
60–64,2004–2008,VIC,Invasive,1930
60–64,2004–2008,WA,Invasive,746
60–64,2005–2009,ACT,Invasive,150
60–64,2005–2009,NSW,Invasive,2975
60–64,2005–2009,NT,Invasive,36
60–64,2005–2009,QLD,Invasive,1768
60–64,2005–2009,SA,Invasive,772
60–64,2005–2009,TAS,Invasive,235
60–64,2005–2009,VIC,Invasive,2029
60–64,2005–2009,WA,Invasive,792
60–64,2006–2010,ACT,Invasive,168
60–64,2006–2010,NSW,Invasive,3158
60–64,2006–2010,NT,Invasive,42
60–64,2006–2010,QLD,Invasive,1890
60–64,2006–2010,SA,Invasive,827
60–64,2006–2010,TAS,Invasive,232
60–64,2006–2010,VIC,Invasive,2154
60–64,2006–2010,WA,Invasive,874
60–64,2008–2012,ACT,Invasive,173
60–64,2008–2012,NSW,Invasive,3378
60–64,2008–2012,NT,Invasive,57
60–64,2008–2012,QLD,Invasive,2060
60–64,2008–2012,SA,Invasive,853
60–64,2008–2012,TAS,Invasive,303
60–64,2008–2012,VIC,Invasive,2369
60–64,2008–2012,WA,Invasive,992
60–64,2009–2013,ACT,Invasive,184
60–64,2009–2013,NSW,Invasive,3463
60–64,2009–2013,NT,Invasive,64
60–64,2009–2013,QLD,Invasive,2079
60–64,2009–2013,SA,Invasive,854
60–64,2009–2013,TAS,Invasive,303
60–64,2009–2013,VIC,Invasive,2439
60–64,2009–2013,WA,Invasive,1025
60–64,2010–2014,ACT,Invasive,168
60–64,2010–2014,NSW,Invasive,3521
60–64,2010–2014,NT,Invasive,74
60–64,2010–2014,QLD,Invasive,2094
60–64,2010–2014,SA,Invasive,902
60–64,2010–2014,TAS,Invasive,301
60–64,2010–2014,VIC,Invasive,2558
60–64,2010–2014,WA,Invasive,1070
65–69,1998–2002,ACT,Invasive,77
65–69,1998–2002,NSW,Invasive,1934
65–69,1998–2002,NT,Invasive,14
65–69,1998–2002,QLD,Invasive,1057
65–69,1998–2002,SA,Invasive,536
65–69,1998–2002,TAS,Invasive,135
65–69,1998–2002,VIC,Invasive,1489
65–69,1998–2002,WA,Invasive,548
65–69,1999–2003,ACT,Invasive,83
65–69,1999–2003,NSW,Invasive,1971
65–69,1999–2003,NT,Invasive,12
65–69,1999–2003,QLD,Invasive,1094
65–69,1999–2003,SA,Invasive,554
65–69,1999–2003,TAS,Invasive,147
65–69,1999–2003,VIC,Invasive,1482
65–69,1999–2003,WA,Invasive,553
65–69,2003–2007,ACT,Invasive,102
65–69,2003–2007,NSW,Invasive,2218
65–69,2003–2007,NT,Invasive,18
65–69,2003–2007,QLD,Invasive,1260
65–69,2003–2007,SA,Invasive,565
65–69,2003–2007,TAS,Invasive,179
65–69,2003–2007,VIC,Invasive,1603
65–69,2003–2007,WA,Invasive,576
65–69,2004–2008,ACT,Invasive,103
65–69,2004–2008,NSW,Invasive,2310
65–69,2004–2008,NT,Invasive,26
65–69,2004–2008,QLD,Invasive,1350
65–69,2004–2008,SA,Invasive,586
65–69,2004–2008,TAS,Invasive,189
65–69,2004–2008,VIC,Invasive,1710
65–69,2004–2008,WA,Invasive,636
65–69,2005–2009,ACT,Invasive,115
65–69,2005–2009,NSW,Invasive,2459
65–69,2005–2009,NT,Invasive,26
65–69,2005–2009,QLD,Invasive,1444
65–69,2005–2009,SA,Invasive,641
65–69,2005–2009,TAS,Invasive,214
65–69,2005–2009,VIC,Invasive,1789
65–69,2005–2009,WA,Invasive,655
65–69,2006–2010,ACT,Invasive,126
65–69,2006–2010,NSW,Invasive,2568
65–69,2006–2010,NT,Invasive,28
65–69,2006–2010,QLD,Invasive,1560
65–69,2006–2010,SA,Invasive,672
65–69,2006–2010,TAS,Invasive,213
65–69,2006–2010,VIC,Invasive,1890
65–69,2006–2010,WA,Invasive,696
65–69,2008–2012,ACT,Invasive,153
65–69,2008–2012,NSW,Invasive,2906
65–69,2008–2012,NT,Invasive,32
65–69,2008–2012,QLD,Invasive,1815
65–69,2008–2012,SA,Invasive,714
65–69,2008–2012,TAS,Invasive,236
65–69,2008–2012,VIC,Invasive,2109
65–69,2008–2012,WA,Invasive,830
65–69,2009–2013,ACT,Invasive,171
65–69,2009–2013,NSW,Invasive,3102
65–69,2009–2013,NT,Invasive,34
65–69,2009–2013,QLD,Invasive,1944
65–69,2009–2013,SA,Invasive,770
65–69,2009–2013,TAS,Invasive,251
65–69,2009–2013,VIC,Invasive,2261
65–69,2009–2013,WA,Invasive,857
65–69,2010–2014,ACT,Invasive,167
65–69,2010–2014,NSW,Invasive,3246
65–69,2010–2014,NT,Invasive,40
